Date,Open,High,Low,Close,Volume,Market Cap
May-27-2021,20.862029234692333,21.207430354262527,18.84184579397295,19.144169209640257,263660412.5,2562405097.85793
May-26-2021,19.460569776490487,21.413504946646626,19.16,20.880497427595174,299920037.4444444,2623864541.723811
May-25-2021,19.39618412940324,20.07639662538234,17.32,19.37235647364388,358235557,2428488384.31166
May-24-2021,15.823671972125648,20.25,15.127803013697305,19.35129693534958,418806662.15384614,2279010431.5289106
May-23-2021,18.83,19.66,12.243394969239086,15.848549524881705,305193975.1111111,2098897711.4554873
May-22-2021,21.807661159064214,22.01842427359385,18.34866817585895,18.87,369779584.66898954,2575474534.599379
May-21-2021,25.09,26.64,18.5,21.672995925170174,454486877.8815331,3050251719.2375274
May-20-2021,23.392485847,28.08,21.074694829,24.916747491456128,769891711.5988296,3258640753.64041
May-19-2021,36.898806165,38.438930444,19.675764238,23.535226278,784261099.0802628,3820721719.4025207
May-18-2021,33.684758974,37.541057722,33.680212204,36.941291145,681897696.2708747,4653478618.974374
May-17-2021,36.65,37.145230963,32.24,33.709251981,798636192.9622221,4473215156.115938
May-16-2021,34.5,39.476293672,32.84388004,36.56,742023387.683914,4679377817.125923
May-15-2021,37.029660754,39.745123316,34.48,34.52,626561082.7757441,4766689051.692063
May-14-2021,34.984807096,37.9,33.45,37.24,581587045.9523365,4603675185.406016
May-13-2021,32.732027707,37.14,31.277545129,34.977372788,880627453.9630836,4458956909.834679
May-12-2021,36.890338627,41.420326833,34.046223142,34.046223142,613042101.5166838,4946835366.287175
May-11-2021,34.754894162,37.258847568,32.827795851,37.096777996,691195523.4516367,4512220627.6806345
May-10-2021,39.035910331,41.736199716,31.82724465,34.872646847,584857396.0916822,4915705625.415373
May-09-2021,38.392321087,39.220905917,35.440944446,39.220905917,517007319.90067685,4827030480.916767
May-08-2021,38.11,39.793294525,37.432170043,38.430314619,807302845.3656573,4955932441.665533
May-07-2021,38.1,43.78,36.17,38.11,1014885169.5351037,5135230503.992381
May-06-2021,35.33,39.363166743,34.941844857,38.32,700835130.3199099,4776069533.6356945
May-05-2021,30.384699172,35.581969757,30.384699172,35.33,504497948.3882281,4244658099.9458337
May-04-2021,35.905337728,35.905337728,30.18569315,30.502789477,834623693.9419336,4248303864.223196
May-03-2021,31.3,36.893256065,31.25,36.18943142,478197245.5988138,4315646219.257178
May-02-2021,31.854255059,32.618713159,30.55,31.32,458552767.4419542,4090674611.6106486
May-01-2021,32.933032777,35.48,31.819863915,31.850879707,616959906.4638242,4305386149.675
Apr-30-2021,27.94,32.918179979,27.58,32.87838166,427991543.49323463,3929821562.0789247
Apr-29-2021,28.335821922,29.689644408,26.7465348,27.985279862,338057319.88800186,3589223267.9922633
Apr-28-2021,27.840238421,28.937787829,26.018396831,28.390800986,341916873.1735243,3553858204.302512
Apr-27-2021,26.452205604,27.842119952,25.74666193,27.83084944,366529753.5575106,3504093041.291775
Apr-26-2021,21.615749272,26.26637907,21.441468118,26.26637907,331487720.7455547,3199258817.4503508
Apr-25-2021,21.85200475,23.69,20.665270725,21.512961165,223074826.90411195,2865991533.8953958
Apr-24-2021,23.524549596,23.88,21.560401665,21.813215222,360952353.7972499,2923310310.903654
Apr-23-2021,24.022235668,24.657039847,20.274128077,23.456973228,541041779.9424663,2899662497.030319
Apr-22-2021,25.92,27.722506841,23.057248911,24.1810885,398122264.83405787,3354622083.9811945
Apr-21-2021,27.42,28.12,25.88,25.88,432567554.8868796,3501345503.858825
Apr-20-2021,26.254910744,28.23,24.08659389,27.23,503577360.8889828,3382134361.4961376
Apr-19-2021,29.307590701,30.497925255,25.601366205,26.197548357,600806371.1087155,3628110025.2194915
Apr-18-2021,34.01,34.23,23.014155106,29.065422915,720589192.9429125,3725083223.9241276
Apr-17-2021,35.569118085,36.925965439,33.83,34.01,579725401.8675255,4559874244.43338
Apr-16-2021,37.1,37.4,33.690972563,35.560871335,684182525.2850305,4586078078.353821
Apr-15-2021,38.447685736,40.725418092,36.34,37.2,1185854227.328625,4891899948.442094
Apr-14-2021,33.76,39.325033342,33.119677955,38.333276875,845451452.0678995,4636638822.752903
Apr-13-2021,33.94,34.910101098,31.818647235,33.95,686216119.210777,4295041251.63958
Apr-12-2021,31.595599689,35.633335002,31.41422751,33.96,448337664.8187331,4201971142.6613064
